date,satellite,cloud_pct,status,season,threshold,action
2026-01-05,Sentinel-2A,0.3,ACCEPTED,Rabi,25,Used in composite — NDVI extracted at 208 points
2026-01-05,Sentinel-2A,2.0,ACCEPTED,Rabi,25,Used in composite — NDVI extracted at 208 points
2026-01-06,Sentinel-2C,64.6,REJECTED,Rabi,25,Skipped — cloud cover 64.6% exceeds 25% Rabi QA threshold
2026-01-06,Sentinel-2C,99.6,REJECTED,Rabi,25,Skipped — cloud cover 99.6% exceeds 25% Rabi QA threshold
2026-01-08,Sentinel-2B,27.7,REJECTED,Rabi,25,Skipped — cloud cover 27.7% exceeds 25% Rabi QA threshold
2026-01-08,Sentinel-2B,86.2,REJECTED,Rabi,25,Skipped — cloud cover 86.2% exceeds 25% Rabi QA threshold
2026-01-08,Sentinel-2A,100.0,REJECTED,Rabi,25,Skipped — cloud cover 100% exceeds 25% Rabi QA threshold
2026-01-08,Sentinel-2A,43.3,REJECTED,Rabi,25,Skipped — cloud cover 43.3% exceeds 25% Rabi QA threshold
2026-01-11,Sentinel-2B,39.8,REJECTED,Rabi,25,Skipped — cloud cover 39.8% exceeds 25% Rabi QA threshold
2026-01-11,Sentinel-2B,17.3,ACCEPTED,Rabi,25,Used in composite — NDVI extracted at 208 points
2026-01-13,Sentinel-2C,99.1,REJECTED,Rabi,25,Skipped — cloud cover 99.1% exceeds 25% Rabi QA threshold
2026-01-13,Sentinel-2C,55.0,REJECTED,Rabi,25,Skipped — cloud cover 55.0% exceeds 25% Rabi QA threshold
2026-01-16,Sentinel-2C,51.3,REJECTED,Rabi,25,Skipped — cloud cover 51.3% exceeds 25% Rabi QA threshold
