sample_id,latitude,longitude,easting_utm,northing_utm,degradation_risk,crop_failure_risk,salinity_risk,overall_risk,degradation_cat,crop_failure_cat,salinity_cat
filebc494d5a79.37,30.79206401,76.42431895,636275.0,3407425.0,50.1,51.3,17.8,44.120000000000005,MODERATE,MODERATE,LOW
filebc494d5a79.38,30.75225992,76.3841404,632485.0,3402965.0,38.1,47.6,16.4,37.56,LOW,MODERATE,LOW
filebc494d5a79.39,30.76313554,76.39641537,633645.0,3404185.0,25.9,38.2,15.3,28.700000000000003,LOW,LOW,LOW
filebc494d5a79.40,30.82742977,76.29551578,623905.0,3411195.0,40.4,51.3,16.6,40.0,LOW,MODERATE,LOW
filebc494d5a79.41,30.79986312,76.37039883,631105.0,3408225.0,44.3,51.4,17.4,41.76,LOW,MODERATE,LOW
filebc494d5a79.42,30.78985861,76.40317632,634255.0,3407155.0,27.0,37.2,23.0,30.280000000000005,LOW,LOW,LOW
filebc494d5a79.43,30.78120237,76.42750271,636595.0,3406225.0,27.1,58.4,5.5,35.300000000000004,LOW,MODERATE,LOW
filebc494d5a79.44,30.82091152,76.29772818,624125.0,3410475.0,52.3,62.6,13.4,48.64000000000001,MODERATE,MODERATE,LOW
filebc494d5a79.45,30.7995872,76.38784922,632775.0,3408215.0,66.7,58.7,24.4,55.04000000000001,MODERATE,MODERATE,LOW
filebc494d5a79.46,30.85635477,76.30814035,625075.0,3414415.0,66.4,59.5,18.8,54.12,MODERATE,MODERATE,LOW
filebc494d5a79.47,30.7926002,76.34019699,628225.0,3407385.0,49.2,60.9,20.3,48.10000000000001,MODERATE,MODERATE,LOW
filebc494d5a79.48,30.7528368,76.38080574,632165.0,3403025.0,42.5,52.8,19.7,42.06,LOW,MODERATE,LOW
filebc494d5a79.49,30.81575509,76.42769992,636565.0,3410055.0,46.6,48.7,18.3,41.78,MODERATE,MODERATE,LOW
filebc494d5a79.50,30.8698762,76.32704636,626865.0,3415935.0,57.6,60.6,18.2,50.92,MODERATE,MODERATE,LOW
filebc494d5a79.51,30.78276615,76.35751196,629895.0,3406315.0,46.0,41.6,21.9,39.42000000000001,MODERATE,LOW,LOW
